root,root_arabic,total_occurrences,n_surahs,n_verses,first_surah,last_surah,meccan_count,medinan_count
kyl,كيل,16,7,13,6,83,16,0
Smm,صمم,15,13,14,2,47,9,6
swm,سوم,15,10,15,2,55,8,7
Hrr,حرر,15,10,11,2,76,3,12
kff,كفف,15,9,14,2,48,3,12
rkb,ركب,15,13,15,2,84,12,3
byE,بيع,15,8,11,2,62,1,14
Hrj,حرج,15,9,11,4,48,2,13
mTr,مطر,15,9,9,4,46,13,2
$kk,شكك,15,11,15,4,44,14,1
bdA,بدا,15,11,14,7,85,14,1
Hrv,حرث,14,7,11,2,68,8,6
Swm,صوم,14,6,11,2,58,1,13
fqr,فقر,14,11,14,2,75,3,11
wlj,ولج,14,8,9,3,57,6,8
rjm,رجم,14,12,14,3,81,13,1
E$w,عشو,14,11,14,3,79,12,2
vwy,ثوي,14,10,14,3,47,11,3
lwm,لوم,14,10,12,5,75,12,2
wSf,وصف,14,7,14,6,43,14,0
zrE,زرع,14,12,12,6,56,11,3
rsw,رسو,14,13,14,7,79,13,1
ETw,عطو,14,11,12,9,108,11,3
Sff,صفف,14,11,12,18,89,11,3
Aby,ابي,13,8,12,2,33,7,6
rkE,ركع,13,8,10,2,77,3,10
fdy,فدي,13,10,13,2,70,4,9
qnt,قنت,13,8,12,2,66,3,10
rAf,راف,13,8,13,2,59,2,11
wqt,وقت,13,10,13,2,78,11,2
qrD,قرض,13,6,7,2,73,3,10
xll,خلل,13,11,13,2,43,9,4
Tmn,طمن,13,11,12,2,89,5,8
Sgr,صغر,13,11,13,2,54,10,3
$hw,شهو,13,13,13,3,77,11,2
glm,غلم,13,8,13,3,52,12,1
Hwr,حور,13,10,12,3,84,6,7
ESm,عصم,13,10,12,3,60,5,8
fwh,فوه,13,10,13,3,61,3,10
glZ,غلظ,13,10,13,3,66,4,9
jwr,جور,13,10,10,4,72,6,7
jld,جلد,13,6,9,4,41,6,7
Hlf,حلف,13,5,12,4,68,1,12
yAs,ياس,13,9,11,5,65,8,5
bgt,بغت,13,10,13,6,47,11,2
xzn,خزن,13,11,13,6,67,12,1
njm,نجم,13,12,13,6,86,11,2
Dyq,ضيق,13,10,12,6,65,9,4
nSH,نصح,13,6,11,7,66,11,2
SyH,صيح,13,9,13,11,63,12,1
$bh,شبه,12,6,9,2,39,5,7
wSl,وصل,12,7,10,2,28,6,6
rhb,رهب,12,10,12,2,59,5,7
ESw,عصو,12,6,12,2,28,11,1
bkr,بكر,12,11,12,2,76,6,6
TmE,طمع,12,10,12,2,74,8,4
nb*,نبذ,12,10,12,2,104,8,4
nyl,نيل,12,7,10,2,33,3,9
Hnf,حنف,12,9,12,2,98,6,6
Hsr,حسر,12,12,12,2,69,9,3
lHm,لحم,12,10,12,2,56,7,5
sfr,سفر,12,9,12,2,80,5,7
Esr,عسر,12,9,12,2,94,7,5
byD,بيض,12,10,12,2,37,9,3
xTb,خطب,12,11,12,2,78,11,1
knn,كنن,12,11,12,2,56,11,1
Tyn,طين,12,11,12,3,51,10,2
jby,جبي,12,12,12,3,68,10,2
bxl,بخل,12,6,7,3,92,1,11
drk,درك,12,9,11,4,68,9,3
wdy,ودي,12,11,11,4,89,8,4
xwD,خوض,12,7,9,4,74,8,4
jHd,جحد,12,10,12,6,46,12,0
$yE,شيع,12,9,11,6,54,11,1
$ml,شمل,12,9,11,6,70,12,0
xrr,خرر,12,10,12,7,38,11,1
E*r,عذر,12,8,11,7,77,7,5
$qw,شقو,12,7,12,11,92,12,0
sjn,سجن,12,3,12,12,83,12,0
slk,سلك,12,11,12,15,74,12,0
nTf,نطف,12,11,12,16,80,10,2
nTq,نطق,12,9,11,21,77,12,0
Ewn,عون,11,8,10,1,25,6,5
sfh,سفه,11,5,10,2,72,5,6
wqd,وقد,11,10,11,2,104,4,7
SEq,صعق,11,8,10,2,52,7,4
gmm,غمم,11,8,10,2,25,5,6
Twr,طور,11,9,11,2,95,8,3
Ayd,ايد,11,9,11,2,61,2,9
sHb,سحب,11,10,11,2,54,7,4
sbb,سبب,11,6,10,2,40,9,2
lgw,لغو,11,11,11,2,88,9,2
rDE,رضع,11,5,6,2,65,2,9
fAy,فاي,11,6,9,2,28,2,9
Enb,عنب,11,10,11,2,80,9,2
ymm,يمم,11,7,10,2,51,8,3
Hrb,حرب,11,9,11,2,47,3,8
gyZ,غيظ,11,8,10,3,67,3,8
Trf,طرف,11,11,11,3,55,8,3
zbr,زبر,11,10,11,3,54,9,2
qSr,قصر,11,9,11,4,77,6,5
TbE,طبع,11,9,11,4,63,6,5
Trq,طرق,11,6,11,4,86,9,2
jml,جمل,11,9,11,7,77,9,2
wrd,ورد,11,7,9,11,55,10,1
wkA,وكا,11,10,11,12,76,8,3
HSy,حصي,11,10,11,14,78,9,2
frr,فرر,11,9,10,18,80,7,4
$fq,شفق,11,9,11,18,84,9,2
dmw,دمو,10,7,10,2,22,5,5
qds,قدس,10,7,10,2,79,3,7
rjz,رجز,10,7,9,2,74,8,2
rEy,رعي,10,9,9,2,87,6,4
DyE,ضيع,10,8,10,2,19,6,4
nqS,نقص,10,9,10,2,73,7,3
swd,سود,10,8,9,2,43,5,5
zyl,زيل,10,10,10,2,48,4,6
Ezl,عزل,10,8,10,2,44,6,4
dfE,دفع,10,8,9,2,70,4,6
mAy,ماي,10,5,7,2,37,2,8
kfl,كفل,10,8,10,3,57,6,4
mlw,ملو,10,8,9,3,68,4,6
Twl,طول,10,10,10,4,76,6,4
sfl,سفل,10,9,9,4,95,6,4
jbr,جبر,10,9,10,5,59,8,2
rjs,رجس,10,7,9,5,33,4,6
Hyq,حيق,10,9,10,6,46,10,0
qhr,قهر,10,9,10,6,93,9,1
Etw,عتو,10,7,9,7,69,9,1
dmr,دمر,10,8,8,7,47,9,1
bT$,بطش,10,8,8,7,85,10,0
ASl,اصل,10,10,10,7,76,4,6
DHk,ضحك,10,8,10,9,83,9,1
rhq,رهق,10,7,10,10,80,10,0
zlf,زلف,10,8,10,11,81,10,0
jdd,جدد,10,8,10,13,72,9,1
tjr,تجر,9,7,8,2,62,1,8
nqD,نقض,9,7,9,2,94,3,6
*bH,ذبح,9,6,9,2,37,5,4
sbt,سبت,9,6,7,2,78,6,3
bqr,بقر,9,3,9,2,12,4,5
lwn,لون,9,5,7,2,39,7,2
Ekf,عكف,9,7,9,2,48,5,4
bvv,بثث,9,9,9,2,101,7,2
fyD,فيض,9,7,8,2,46,3,6
Ezm,عزم,9,7,9,2,47,4,5
qbD,قبض,9,6,7,2,67,6,3
brz,برز,9,8,9,2,79,6,3
nwm,نوم,9,9,9,2,78,7,2
Ewm,عوم,9,5,7,2,31,3,6
Hrq,حرق,9,8,9,2,85,4,5
zyg,زيغ,9,7,8,3,61,3,6
Ebr,عبر,9,8,9,3,79,5,4
fDD,فضض,9,6,9,3,76,1,8
xyl,خيل,9,9,9,3,59,4,5
dwm,دوم,9,6,9,3,70,4,5
Ewj,عوج,9,7,9,3,39,8,1
hmm,همم,9,6,8,3,40,3,6
whn,وهن,9,7,8,3,47,4,5
SEd,صعد,9,8,9,3,74,6,3
gnm,غنم,9,6,9,4,48,3,6
rmy,رمي,9,5,7,4,105,2,7
srq,سرق,9,4,7,5,60,6,3
wqr,وقر,9,8,9,6,71,8,1
Hly,حلي,9,8,9,7,76,6,3
