band,surah,verse,V,len,num_names
LAST,66,12,12,79,0
FIRST,67,1,30,33,0
Q1,67,8,30,53,0
MID,67,16,30,40,0
Q3,67,23,30,55,0
LAST,67,30,30,40,0
FIRST,68,1,52,16,0
Q1,68,14,52,15,0
MID,68,26,52,23,0
Q3,68,40,52,16,0
LAST,68,52,52,19,0
FIRST,69,1,52,6,0
Q1,69,14,52,30,0
MID,69,26,52,14,0
Q3,69,40,52,15,0
LAST,69,52,52,17,0
FIRST,70,1,44,16,0
Q1,70,12,44,12,0
MID,70,22,44,10,0
Q3,70,34,44,24,0
LAST,70,44,44,44,0
FIRST,71,1,28,51,0
Q1,71,8,28,16,0
MID,71,14,28,14,0
Q3,71,22,28,15,0
LAST,71,28,28,71,0
FIRST,72,1,28,49,0
Q1,72,8,28,41,0
MID,72,14,28,49,0
Q3,72,22,28,40,1
LAST,72,28,28,52,0
FIRST,73,1,20,12,0
Q1,73,6,20,30,0
MID,73,10,20,32,0
Q3,73,16,20,31,0
LAST,73,20,20,329,1
FIRST,74,1,56,12,0
Q1,74,14,56,13,0
MID,74,28,56,12,0
Q3,74,42,56,12,0
LAST,74,56,56,44,1
FIRST,75,1,40,17,0
Q1,75,10,40,24,0
MID,75,20,40,17,0
Q3,75,30,40,17,0
LAST,75,40,40,27,0
FIRST,76,1,31,40,0
Q1,76,8,31,37,0
MID,76,16,31,23,0
Q3,76,24,31,33,0
LAST,76,31,31,42,0
FIRST,77,1,50,13,0
Q1,77,13,50,9,0
MID,77,26,50,12,0
Q3,77,38,50,26,0
LAST,77,50,50,18,0
FIRST,78,1,40,10,0
Q1,78,10,40,16,0
MID,78,20,40,21,0
Q3,78,30,40,23,0
LAST,78,40,40,69,0
FIRST,79,1,46,13,0
Q1,79,12,46,19,0
MID,79,24,46,17,0
Q3,79,35,46,20,0
LAST,79,46,46,36,0
FIRST,80,1,42,8,0
Q1,80,11,42,12,0
MID,80,22,42,13,0
Q3,80,32,42,17,0
LAST,80,42,42,19,0
FIRST,81,1,29,12,0
Q1,81,8,29,16,0
MID,81,15,29,13,0
Q3,81,22,29,15,0
LAST,81,29,29,32,1
FIRST,82,1,19,15,0
Q1,82,5,19,18,0
MID,82,10,19,15,0
Q3,82,15,19,15,0
LAST,82,19,19,34,1
FIRST,83,1,36,11,0
Q1,83,10,36,16,0
MID,83,18,36,24,0
Q3,83,28,36,19,0
LAST,83,36,36,24,0
FIRST,84,1,25,14,0
Q1,84,7,25,21,0
MID,84,13,25,18,0
Q3,84,19,25,15,0
LAST,84,25,25,41,0
FIRST,85,1,22,16,0
Q1,85,6,22,13,0
MID,85,12,22,13,0
Q3,85,17,22,16,0
LAST,85,22,22,10,0
FIRST,86,1,17,14,0
Q1,86,5,17,18,0
MID,86,9,17,14,0
Q3,86,13,17,10,0
LAST,86,17,17,23,0
FIRST,87,1,19,15,0
Q1,87,5,19,13,0
MID,87,10,19,11,0
Q3,87,15,19,14,0
LAST,87,19,19,15,0
FIRST,88,1,26,17,0
Q1,88,7,26,18,0
MID,88,14,26,12,0
Q3,88,20,26,16,0
LAST,88,26,26,15,0
FIRST,89,1,30,6,0
Q1,89,8,30,23,0
MID,89,16,30,40,0
Q3,89,23,30,43,0
LAST,89,30,30,10,0
