s1,v1,s2,v2,sim,lev
55,30,55,36,1.0000,0
55,30,55,38,1.0000,0
55,30,55,40,1.0000,0
55,30,55,42,1.0000,0
55,30,55,45,1.0000,0
55,30,55,47,1.0000,0
55,30,55,49,1.0000,0
55,30,55,51,1.0000,0
55,30,55,53,1.0000,0
55,30,55,55,1.0000,0
55,30,55,57,1.0000,0
55,30,55,59,1.0000,0
55,30,55,61,1.0000,0
55,30,55,63,1.0000,0
55,30,55,65,1.0000,0
55,30,55,67,1.0000,0
55,30,55,69,1.0000,0
55,30,55,71,1.0000,0
55,30,55,73,1.0000,0
55,30,55,75,1.0000,0
55,30,55,77,1.0000,0
55,32,55,34,1.0000,0
55,32,55,36,1.0000,0
55,32,55,38,1.0000,0
55,32,55,40,1.0000,0
55,32,55,42,1.0000,0
55,32,55,45,1.0000,0
55,32,55,47,1.0000,0
55,32,55,49,1.0000,0
55,32,55,51,1.0000,0
55,32,55,53,1.0000,0
55,32,55,55,1.0000,0
55,32,55,57,1.0000,0
55,32,55,59,1.0000,0
55,32,55,61,1.0000,0
55,32,55,63,1.0000,0
55,32,55,65,1.0000,0
55,32,55,67,1.0000,0
55,32,55,69,1.0000,0
55,32,55,71,1.0000,0
55,32,55,73,1.0000,0
55,32,55,75,1.0000,0
55,32,55,77,1.0000,0
55,34,55,36,1.0000,0
55,34,55,38,1.0000,0
55,34,55,40,1.0000,0
55,34,55,42,1.0000,0
55,34,55,45,1.0000,0
55,34,55,47,1.0000,0
55,34,55,49,1.0000,0
55,34,55,51,1.0000,0
55,34,55,53,1.0000,0
55,34,55,55,1.0000,0
55,34,55,57,1.0000,0
55,34,55,59,1.0000,0
55,34,55,61,1.0000,0
55,34,55,63,1.0000,0
55,34,55,65,1.0000,0
55,34,55,67,1.0000,0
55,34,55,69,1.0000,0
55,34,55,71,1.0000,0
55,34,55,73,1.0000,0
55,34,55,75,1.0000,0
55,34,55,77,1.0000,0
55,36,55,38,1.0000,0
55,36,55,40,1.0000,0
55,36,55,42,1.0000,0
55,36,55,45,1.0000,0
55,36,55,47,1.0000,0
55,36,55,49,1.0000,0
55,36,55,51,1.0000,0
55,36,55,53,1.0000,0
55,36,55,55,1.0000,0
55,36,55,57,1.0000,0
55,36,55,59,1.0000,0
55,36,55,61,1.0000,0
55,36,55,63,1.0000,0
55,36,55,65,1.0000,0
55,36,55,67,1.0000,0
55,36,55,69,1.0000,0
55,36,55,71,1.0000,0
55,36,55,73,1.0000,0
55,36,55,75,1.0000,0
55,36,55,77,1.0000,0
55,38,55,40,1.0000,0
55,38,55,42,1.0000,0
55,38,55,45,1.0000,0
55,38,55,47,1.0000,0
55,38,55,49,1.0000,0
55,38,55,51,1.0000,0
55,38,55,53,1.0000,0
55,38,55,55,1.0000,0
