global_idx,surah,verse,n_letters,rhyme_letter,topics,pct_emphatic,pct_resonant,pct_plosive,pct_fricative,pct_guttural,pct_labial
907,6,118,40,ن,,0.025,0.475,0.225,0.15,0.175,0.225
908,6,119,116,ن,legal,0.10345,0.48276,0.23276,0.12931,0.18966,0.23276
909,6,120,59,ن,eschatology,0.10169,0.45763,0.20339,0.18644,0.08475,0.23729
910,6,121,96,ن,polytheism-rejection,0.05208,0.53125,0.21875,0.125,0.17708,0.22917
911,6,122,100,ن,creation|polytheism-rejection,0.04,0.51,0.14,0.18,0.11,0.2
912,6,123,69,ن,,0.10145,0.50725,0.2029,0.14493,0.13043,0.26087
913,6,124,118,ن,punishment|prophets|dialogue,0.0678,0.4322,0.21186,0.16949,0.17797,0.15254
914,6,125,110,ن,creation,0.11818,0.47273,0.18182,0.2,0.17273,0.09091
915,6,126,41,ن,prayer,0.21951,0.41463,0.26829,0.17073,0.04878,0.19512
916,6,127,41,ن,,0.04878,0.56098,0.12195,0.12195,0.14634,0.31707
917,6,128,151,م,hell|creation|prophets|dialogue,0.07285,0.43709,0.21854,0.13907,0.15232,0.17881
918,6,129,38,ن,,0.07895,0.44737,0.21053,0.13158,0.05263,0.26316
919,6,130,134,ن,prophets|legal|dialogue|polytheism-rejection,0.06716,0.47015,0.18657,0.16418,0.15672,0.18657
920,6,131,38,ن,punishment,0.10526,0.47368,0.23684,0.18421,0.15789,0.21053
921,6,132,37,ن,,0.05405,0.51351,0.18919,0.05405,0.10811,0.35135
922,6,133,71,ن,mercy,0.07042,0.46479,0.23944,0.21127,0.19718,0.23944
923,6,134,27,ن,,0.0,0.48148,0.33333,0.03704,0.18519,0.2963
924,6,135,75,ن,dialogue,0.06667,0.48,0.17333,0.12,0.14667,0.24
925,6,136,128,ن,creation|dialogue|polytheism-rejection|nature-imagery,0.07031,0.42969,0.14062,0.21875,0.17969,0.20312
926,6,137,96,ن,creation|polytheism-rejection,0.07292,0.54167,0.15625,0.19792,0.13542,0.25
927,6,138,117,ن,punishment|legal|dialogue|nature-imagery,0.08547,0.42735,0.1453,0.20513,0.22222,0.20513
928,6,139,95,م,punishment|legal|dialogue|nature-imagery,0.07368,0.44211,0.15789,0.25263,0.21053,0.24211
929,6,140,83,ن,legal,0.12048,0.42169,0.18072,0.19277,0.15663,0.20482
930,6,141,145,ن,mercy|paradise|nature-imagery,0.08276,0.44828,0.16552,0.22069,0.17241,0.23448
931,6,142,70,ن,,0.07143,0.47143,0.2,0.12857,0.14286,0.27143
932,6,143,106,ن,legal|dialogue,0.06604,0.51887,0.19811,0.14151,0.16038,0.15094
933,6,144,167,ن,legal|dialogue|nature-imagery,0.07784,0.49102,0.17964,0.16168,0.1497,0.16766
934,6,145,128,م,mercy|legal|dialogue|nature-imagery,0.11719,0.42969,0.21094,0.21875,0.24219,0.22656
935,6,146,122,ن,legal|nature-imagery,0.09836,0.45902,0.14754,0.20492,0.18033,0.2459
936,6,147,51,ن,mercy|punishment|prophets|dialogue|polytheism-rejection,0.11765,0.45098,0.23529,0.19608,0.15686,0.29412
937,6,148,142,ن,punishment|legal|dialogue|polytheism-rejection,0.07746,0.43662,0.24648,0.15493,0.16197,0.17606
938,6,149,36,ن,dialogue,0.02778,0.36111,0.22222,0.25,0.25,0.16667
939,6,150,118,ن,prophets|legal|dialogue|polytheism-rejection,0.0339,0.41525,0.22034,0.21186,0.21186,0.21186
940,6,151,180,ن,legal|dialogue|polytheism-rejection,0.1,0.43889,0.24444,0.12778,0.13333,0.22778
941,6,152,149,ن,legal|prayer,0.0604,0.40268,0.2349,0.16779,0.13423,0.2349
942,6,153,75,ن,,0.10667,0.36,0.29333,0.18667,0.12,0.28
943,6,154,75,ن,mercy|prophets,0.05333,0.44,0.21333,0.17333,0.17333,0.22667
944,6,155,44,ن,mercy,0.06818,0.36364,0.27273,0.15909,0.15909,0.27273
945,6,156,61,ن,dialogue,0.06557,0.42623,0.27869,0.09836,0.14754,0.16393
