surah,name,type,n_verses,n_chars,lz_count,lz_norm_simple,lz_norm_log,gzip_ratio,heap_beta,zipf_alpha,dispersion,is_muq
91,Ash-Shams,meccan,15,306,106,0.3464052287581699,2.8604023245928794,0.47227191413237923,1.0013244564445059,nan,0.312135,0
92,Al-Layl,meccan,21,384,131,0.3411458333333333,2.928724186443936,0.47277936962750716,0.960184261481179,0.324661,0.34938,0
93,Ad-Duhaa,meccan,11,204,79,0.3872549019607843,2.9711843236066082,0.5474254742547425,0.9348779057856794,nan,0.304348,0
94,Ash-Sharh,meccan,8,128,57,0.4453125,3.1171875,0.6217391304347826,0.8633790765862053,nan,0.223058,0
95,At-Tin,meccan,8,195,78,0.4,3.0429321254998443,0.5686274509803921,1.0,nan,0.386762,0
96,Al-'Alaq,meccan,19,361,125,0.3462603878116344,2.9417780564013745,0.46615384615384614,0.94672417936671,nan,0.401864,0
97,Al-Qadr,meccan,5,144,60,0.4166666666666667,2.9874687506009634,0.6023166023166023,0.899717261791037,nan,0.389803,0
98,Al-Bayyinah,medinan,8,505,156,0.3089108910891089,2.7740629190330863,0.42278203723986857,0.8501692557669812,0.480235,0.420008,0
99,Az-Zalzalah,medinan,8,193,70,0.3626943005181347,2.753740894345936,0.5213675213675214,0.9663789132517367,nan,0.393762,0
100,Al-'Adiyat,meccan,11,210,82,0.3904761904761905,3.0122292021362953,0.5578947368421052,0.9373862847399939,nan,0.2582,0
101,Al-Qari'ah,meccan,11,195,69,0.35384615384615387,2.6918245725575547,0.504225352112676,1.1164027042697737,nan,0.234072,0
102,At-Takathur,meccan,8,150,57,0.38,2.7469511023884348,0.5531135531135531,0.7352910674686635,nan,0.331738,0
103,Al-'Asr,meccan,3,86,37,0.43023255813953487,2.7647883246974145,0.6792452830188679,nan,nan,0.396686,0
104,Al-Humazah,meccan,9,168,70,0.4166666666666667,3.08013225949115,0.6105610561056105,0.9656640467069851,nan,0.241459,0
105,Al-Fil,meccan,5,119,58,0.48739495798319327,3.36049941404925,0.6759259259259259,0.98941465950224,nan,0.305986,0
106,Quraysh,meccan,4,93,47,0.5053763440860215,3.3047361733556713,0.7529411764705882,nan,nan,0.275917,0
107,Al-Ma'un,meccan,7,138,56,0.4057971014492754,2.8846186201418655,0.5992063492063492,1.002565741229631,nan,0.233187,0
108,Al-Kawthar,meccan,3,52,31,0.5961538461538461,3.3983390627379584,0.9789473684210527,nan,nan,0.246867,0
109,Al-Kafirun,meccan,6,125,39,0.312,2.1733246968145714,0.5133928571428571,0.6530518166893241,nan,0.565789,0
110,An-Nasr,medinan,3,100,51,0.51,3.3883666567851094,0.7624309392265194,0.9394601954082684,nan,0.45848,0
111,Al-Masad,meccan,5,103,46,0.44660194174757284,2.986204118936195,0.7336956521739131,0.9517592007843071,nan,0.199415,0
112,Al-Ikhlas,meccan,4,61,27,0.4426229508196721,2.625080460888491,0.7870370370370371,nan,nan,0.413534,0
113,Al-Falaq,meccan,5,95,39,0.4105263157894737,2.6970986181569154,0.6904761904761905,0.7678853190280673,nan,0.244817,0
114,An-Nas,meccan,6,99,38,0.3838383838383838,2.544601530939648,0.6424581005586593,0.943025319523616,nan,0.417065,0
