k,amplitude,null_99th_percentile
645,1507.645862565718,5230.6390149071685
646,174.65575705929731,4998.149757125238
647,390.2366739669248,5302.59805482131
648,2211.790578507872,5036.779842201853
649,439.91549031550437,5348.777355276164
650,453.0643677462638,5126.099074770496
651,482.480802468262,5325.5715096414415
652,581.8979088878676,4988.811046000835
653,2541.796465237392,5074.207640176782
654,280.12491171545037,4984.317044782392
655,1068.9591661588995,5095.924943171066
656,355.34635646611787,5009.008732543941
657,790.8060818308221,5056.238376648641
658,1243.0100787747626,4938.427397146034
659,1203.592914892631,5398.7221003936775
660,156.29571039823398,5073.101071358998
661,79.07235950973006,5212.935854251886
662,89.30587798117337,5202.198094667456
663,523.5927479981888,5219.948516552075
664,745.5974935696494,5045.6392919429245
665,869.9671302052953,4950.670651441563
666,1325.8087420366674,5097.387283570839
667,2176.9120537833496,4956.222606321755
668,894.8542231629046,5068.641707615796
669,430.38256393194223,5151.6915132983095
670,947.9111655246008,5133.847898670736
671,220.7605053869384,5159.479149856975
672,943.8552892676554,5103.382708473073
673,2081.7632396394733,5001.5809136888565
674,486.0614749189331,5184.764224528141
675,53.46258171049781,5009.29458792555
676,652.4052345310201,5177.12919054082
677,30.459530612008308,5031.799684052829
678,761.2761287996673,5191.2383304105115
679,14.88993714018886,5047.670936416381
680,406.0608519944684,5245.950118249219
681,37.100999279774,5078.094010292462
682,238.75659249950752,5067.547879517018
683,405.8117360309077,5183.902685718787
684,2792.80936404588,4979.219314418488
685,178.64065680664748,4974.134598549929
686,46.44153916125419,5233.971919271559
687,995.025811206148,5124.757474903122
688,2478.140806511242,5056.46133460181
689,310.703559332146,4989.274206179319
690,105.63835279117228,5020.320037013731
691,233.35877083260814,5099.082662642785
692,1193.5275385752095,5233.715193592929
693,15.429472099630912,5147.201182590049
694,140.6243099633746,5098.645519014065
695,340.5047711775317,5049.757087785074
696,536.5176504307401,5151.285606428339
697,1446.0610279101033,4933.717418250206
698,612.6465856391757,5194.022417610673
699,343.0912829302127,5144.9816321316275
700,655.0076071557472,5407.597966672052
701,964.9422750810766,5049.432421422742
702,409.4664644205423,4987.404786692089
703,217.07312820701307,5051.599701962292
704,2622.9311502487867,5093.382144616586
705,173.17484433290852,5155.140899681906
706,411.4530234142584,4987.631794641655
707,29.594182565843973,4919.675604762293
708,1666.4938344869677,4977.5160892414415
709,446.2964054792563,5086.648035560893
710,1824.7650756792896,5158.038572633155
711,1898.984540530474,4965.855215135255
712,1080.2060043460376,5309.429003884948
713,3074.5670499552925,5002.819901458511
714,814.421559372692,4876.115312965978
715,982.189853432104,5021.0315195402845
716,1461.2100030666013,5035.837291307791
717,4480.686303676174,4894.4319179538
718,3286.6650602225063,5204.140519352981
719,3983.6785358915695,4974.031682679722
720,1375.0484010804037,5115.048076369665
721,2957.130588903425,4863.972685643327
722,960.5265808258879,5117.1996589758155
723,867.8422430946218,5019.146364371634
724,310.06936147079637,4827.450437488714
725,211.55721886613688,4991.683767107387
726,2723.504841266211,5003.851106018002
727,2051.586220992867,5079.470432359927
