surah_id,type,letter_count,cluster,labial,alveolar,palatal,velar,pharyngeal,glottal,emphatic,voiced,continuant
29,meccan,4317,1,0.217512,0.325921,0.085476,0.050730,0.047023,0.057911,0.015288,0.780635,0.851981
30,meccan,3472,1,0.230991,0.319412,0.094182,0.056740,0.048675,0.055300,0.019009,0.755760,0.848790
31,meccan,2171,1,0.204975,0.339475,0.093966,0.046062,0.058959,0.058498,0.021188,0.772916,0.855827
32,meccan,1563,1,0.237364,0.320537,0.084453,0.053743,0.044146,0.053103,0.014075,0.780550,0.847729
33,medinan,5788,1,0.200587,0.327574,0.092260,0.053214,0.047339,0.057878,0.016413,0.777643,0.850380
34,meccan,3594,1,0.219533,0.320812,0.099889,0.058152,0.049527,0.045353,0.015303,0.792988,0.839455
35,meccan,3238,1,0.204138,0.334466,0.094812,0.046325,0.051266,0.060840,0.017295,0.770229,0.854540
36,meccan,3068,1,0.218709,0.325293,0.097132,0.048566,0.053129,0.056714,0.018253,0.778683,0.865711
37,meccan,3899,1,0.217492,0.341370,0.085150,0.045653,0.052065,0.050269,0.021800,0.782508,0.852526
38,meccan,3065,1,0.204568,0.322023,0.076998,0.052855,0.065905,0.048940,0.023817,0.776183,0.833279
39,meccan,4869,1,0.208051,0.330047,0.094681,0.052988,0.051140,0.064695,0.015404,0.758267,0.841651
40,meccan,5108,1,0.214761,0.330070,0.091034,0.057557,0.050117,0.049334,0.016053,0.775646,0.835748
41,meccan,3365,1,0.209807,0.316196,0.097771,0.049629,0.054383,0.058247,0.015750,0.769688,0.854681
42,meccan,3522,0,0.221181,0.312606,0.113572,0.042589,0.050539,0.062465,0.021295,0.785349,0.859739
43,meccan,3609,1,0.231089,0.315323,0.085065,0.054309,0.054863,0.063175,0.017179,0.763092,0.837905
44,meccan,1474,1,0.238806,0.310041,0.095658,0.057666,0.049525,0.050204,0.010176,0.788331,0.840570
