sura,aya,surah_name,n_words,eligible,ineligible_reason,n_hadith,n_hadith_ambiguous,n_books,n_hadith_all17,n_hadith_surah_level,max_span_words,driver_span,b_bukhari,b_muslim,b_abudawud,b_tirmidhi,b_nasai,b_ibnmajah,b_malik,b_ahmed,b_darimi
2,157,البقره,9,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,158,البقره,24,1,,27,0,8,29,27,5,ان الصفا والمروه من شعاير,5,7,2,5,4,2,1,0,1
2,159,البقره,20,1,,5,0,2,5,5,5,ان الذين يكتمون ما انزلنا,3,2,0,0,0,0,0,0,0
2,160,البقره,11,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,161,البقره,13,1,,0,33,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,162,البقره,9,0,no_verse_distinctive_span,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,163,البقره,9,1,,4,0,3,5,4,5,لا اله الا هو الرحمن,0,0,1,2,0,1,0,0,0
2,164,البقره,43,1,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,165,البقره,31,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,166,البقره,12,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,167,البقره,23,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,168,البقره,17,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,169,البقره,11,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,170,البقره,22,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,171,البقره,18,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,172,البقره,15,1,,3,3,3,6,3,5,الذين امنوا كلوا من طيبات,0,1,0,1,0,0,0,0,1
2,173,البقره,25,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,174,البقره,29,1,,10,20,5,17,10,5,يكلمهم الله يوم القيامه ولا,3,3,0,1,1,2,0,0,0
2,175,البقره,11,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,176,البقره,14,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,177,البقره,51,1,,1,6,1,2,1,5,ليس البر ان تولوا وجوهكم,0,0,0,1,0,0,0,0,0
2,178,البقره,38,1,,5,3,3,5,6,5,كتب عليكم القصاص في القتلي,2,0,0,0,2,0,1,0,0
2,179,البقره,9,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,180,البقره,16,1,,4,0,2,4,4,5,ان ترك خيرا الوصيه للوالدين,0,0,1,0,0,0,0,0,3
2,181,البقره,13,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,182,البقره,16,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,183,البقره,15,1,,2,1,1,2,2,5,كتب عليكم الصيام كما كتب,0,0,2,0,0,0,0,0,0
2,184,البقره,32,1,,10,9,7,10,17,5,وعلي الذين يطيقونه فديه طعام,1,1,3,1,2,0,1,0,1
2,185,البقره,44,1,,4,2,2,4,5,5,فمن شهد منكم الشهر فليصمه,0,1,3,0,0,0,0,0,0
2,186,البقره,17,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,187,البقره,65,1,,21,0,7,21,21,5,الخيط الابيض من الخيط الاسود,6,3,4,3,1,0,2,0,2
2,188,البقره,17,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,189,البقره,27,1,,3,0,2,3,3,5,وليس البر بان تاتوا البيوت,2,1,0,0,0,0,0,0,0
2,190,البقره,13,1,,0,3,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,191,البقره,25,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
