surah,verse,word,laA_form,verb_form,verb_lem,verb_root,verb_pgn
32,23,5,laA,takun,kaAna,kwn,2MS
33,1,5,laA,tuTiEi,>aTaAEa,TwE,2MS
33,32,9,laA,taxoDaEo,taxoDaEo,xDE,2FP
33,33,4,laA,tabar~ajo,tabar~ajo,brj,2FP
33,48,1,laA,tuTiEi,>aTaAEa,TwE,2FS
33,53,4,laA,tadoxulu,daxala,dxl,2MP
33,69,4,laA,takuwnu,kaAna,kwn,2MP
35,5,7,laA,tagur~a,gar~a,grr,3FS
35,5,11,laA,yagur~a,gar~a,grr,3MS
36,76,1,laA,yaHozun,yaHozun,Hzn,3MS
38,22,8,laA,taxafo,xaAfa,xwf,2MS
38,22,18,laA,tu$oTiTo,tu$oTiTo,$TT,3FS
38,44,6,laA,taHonavo,taHonavo,Hnv,2MS
39,53,7,laA,taqonaTu,qanaTu,qnT,2MP
41,26,4,laA,tasomaEu,samiEa,smE,2MP
41,30,13,laA,taHozanu,yaHozun,Hzn,2MP
41,37,7,laA,tasojudu,sajada,sjd,2MP
42,13,21,laA,tatafar~aqu,tafar~aqa,frq,2MP
42,15,6,laA,tat~abiEo,{t~abaEa,tbE,2MS
47,33,8,laA,tuboTilu,yuboTila,bTl,2MP
47,35,1,laA,tahinu,wahana,whn,2MP
49,1,4,laA,tuqad~imu,qad~ama,qdm,2MP
49,2,4,laA,tarofaEu,rafaEa,rfE,2MP
49,2,10,laA,tajoharu,jahara,jhr,2MP
49,11,4,laA,yasoxaro,saxira,sxr,3MS
49,11,23,laA,talomizu,yalomizu,lmz,2MP
49,11,26,laA,tanaAbazu,tanaAbazu,nbz,2MP
49,12,12,laA,tajas~asu,tajas~asu,jss,2MP
49,12,14,laA,yagotab,yagotab,gyb,3MS
50,28,2,laA,taxotaSimu,{xotaSamu,xSm,2MP
51,28,5,laA,taxafo,xaAfa,xwf,2MS
51,51,1,laA,tajoEalu,jaEala,jEl,2MP
52,16,4,laA,taSobiru,Sabara,Sbr,2MP
53,32,25,laA,tuzak~u,zak~aY`,zkw,2MP
55,9,4,laA,tuxosiru,yuxosiru,xsr,2MP
57,23,6,laA,taforaHu,fariHa,frH,2MP
58,9,6,laA,tatana`ja,tana`jayo,njw,2MP
59,19,1,laA,takuwnu,kaAna,kwn,2MP
60,1,4,laA,tat~axi*u,{t~axa*a,Ax*,2MP
60,5,2,laA,tajoEalo,jaEala,jEl,2MS
60,10,15,laA,tarojiEu,rajaEa,rjE,2MP
60,10,38,laA,tumosiku,>amosaka,msk,2MP
60,13,4,laA,tatawal~a,tawal~aY`,wly,2MP
63,7,4,laA,tunfiqu,>anfaqa,nfq,2MP
63,9,4,laA,tulohi,>alohaY`,lhw,2MS
65,1,13,laA,tuxoriju,>axoraja,xrj,2MP
65,1,17,laA,yaxorujo,xaraja,xrj,3FP
65,6,7,laA,tuDaA^r~u,yuDaA^r~a,Drr,2MP
66,7,4,laA,taEota*iru,yaEota*iru,E*r,2MP
68,8,1,laA,tuTiEi,>aTaAEa,TwE,2MS
68,10,1,laA,tuTiEo,>aTaAEa,TwE,2MS
68,48,4,laA,takun,kaAna,kwn,2MS
71,24,4,laA,tazidi,zaAda,zyd,2MS
71,26,4,laA,ta*aro,ya*ara,w*r,2MS
71,28,11,laA,tazidi,zaAda,zyd,2MS
72,18,4,laA,tadoEu,daEaA,dEw,2MP
74,6,1,laA,tamonun,man~a,mnn,2MS
75,16,1,laA,tuHar~iko,tuHar~iko,Hrk,2MS
76,24,4,laA,tuTiEo,>aTaAEa,TwE,2MS
93,9,3,laA,taqoharo,taqoharo,qhr,2MS
93,10,3,laA,tanoharo,tanoharo,nhr,2MS
96,19,2,laA,tuTiEo,>aTaAEa,TwE,2MS
