surah,name,type,n_verses,opening_chars,body_chars,self_concat_gz,self_delta,self_ncd,foreign_mean_gz,foreign_mean_delta,foreign_min_delta,foreign_max_delta,self_rank_size,self_rank_delta,self_rank_ncd,n_candidates
27,An-Naml,meccan,93,31,6028,3591,20,0.9848781853822459,2069.265486725664,24.486725663716815,10,35,93,23,92,114
28,Al-Qasas,meccan,88,3,7527,4322,5,0.995135510771369,2041.353982300885,3.1769911504424777,-1,7,101,95,102,114
29,Al-'Ankabut,meccan,69,3,5422,3077,2,0.9921951219512195,2051.1592920353983,1.991150442477876,-3,8,89,47,89,114
30,Ar-Rum,meccan,60,3,4386,2460,4,0.991042345276873,2056.619469026549,1.9734513274336283,-3,8,78,99,82,114
31,Luqman,meccan,34,3,2788,1777,2,0.9864788732394366,2062.663716814159,1.991150442477876,-3,8,70,48,71,114
32,As-Sajdah,meccan,30,3,1966,1341,2,0.9820761762509336,2066.522123893805,1.991150442477876,-3,8,65,49,64,114
33,Al-Ahzab,medinan,73,76,7175,3944,19,0.9770700636942675,2086.8938053097345,45.24778761061947,18,67,99,2,88,114
34,Saba,meccan,54,85,4503,2727,30,0.9707081942899518,2096.283185840708,43.769911504424776,8,70,82,21,81,114
35,Fatir,meccan,45,127,4019,2514,73,0.9643588693158541,2146.495575221239,91.71681415929204,53,120,77,12,76,114
36,Ya-Sin,meccan,83,2,3842,2373,3,0.9911392405063291,2057.858407079646,2.4513274336283186,-1,6,76,65,81,114
37,As-Saffat,meccan,182,12,4782,2771,5,0.9869848156182213,2061.4159292035397,9.513274336283185,2,14,85,6,80,114
38,Sad,meccan,88,20,3856,2484,14,0.9834008097165992,2069.6548672566373,15.132743362831858,6,26,79,48,81,114
39,Az-Zumar,meccan,75,34,6174,3539,7,0.9821630804077011,2064.433628318584,19.309734513274336,-2,31,91,7,88,114
40,Ghafir,meccan,85,2,6470,3619,0,0.9933683337938657,2046.3362831858408,1.9823008849557522,-2,5,95,15,91,114
