surah,verse,word,seg,form,lemma,root,pgn,addressee,rule
2,111,14,1,haAtu,haAtu,hAt,2MP,believers-or-group,2MP-default
2,117,10,1,kun,kaAna,kwn,2MS,prophet:Muhammad,2MS-default
2,120,10,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
2,122,3,1,{*okuru,*akara,*kr,2MP,believers-or-group,2MP-default
2,123,1,2,{t~aqu,{t~aqaY`,wqy,2MP,believers-or-group,2MP-default
2,125,7,2,{t~axi*u,{t~axa*a,Ax*,2MP,believers-or-group,2MP-default
2,125,17,1,Tah~ira,Tah~ara,Thr,2MD,dual-addressee,2MD
2,126,5,1,{joEalo,jaEala,jEl,2MS,prophet:Muhammad,2MS-default
2,126,9,2,{rozuqo,razaqa,rzq,2MS,prophet:Muhammad,2MS-default
2,127,9,1,taqab~alo,taqab~ala,qbl,2MS,prophet:Muhammad,2MS-default
2,128,2,2,{joEalo,jaEala,jEl,2MS,prophet:Muhammad,2MS-default
2,128,10,2,>ari,>arayo,rAy,2MS,prophet:Muhammad,2MS-default
2,128,12,2,tubo,taAba,twb,2MS,prophet:Muhammad,2MS-default
2,129,2,2,{boEavo,baEava,bEv,2MS,prophet:Muhammad,2MS-default
2,131,5,1,>asolimo,>asolama,slm,2MS,prophet:Muhammad,2MS-default
2,135,2,1,kuwnu,kaAna,kwn,2MP,believers-or-group,2MP-default
2,135,7,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
2,136,1,1,quwlu,qaAla,qwl,2MP,believers-or-group,2MP-default
2,139,1,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
2,140,13,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
2,142,12,1,qul,qaAla,qwl,2MS,prophet:Muhammad,qul
2,144,10,2,wal~i,wal~aY`,wly,2MS,prophet:Muhammad,2MS-default
2,144,18,2,wal~u,wal~aY`,wly,2MP,believers-or-group,2MP-default
2,148,5,2,{sotabiqu,{sotabaqa,sbq,2MP,believers-or-group,2MP-default
2,149,4,2,wal~i,wal~aY`,wly,2MS,prophet:Muhammad,2MS-default
2,150,4,2,wal~i,wal~aY`,wly,2MS,prophet:Muhammad,2MS-default
2,150,12,2,wal~u,wal~aY`,wly,2MP,believers-or-group,2MP-default
2,150,26,2,{xo$a,xa$iYa,x$y,2MP,believers-or-group,2MP-default
2,152,1,2,{*okuru,*akara,*kr,2MP,believers-or-group,2MP-default
2,152,3,2,{$okuru,$akara,$kr,2MP,believers-or-group,2MP-default
2,153,4,1,{sotaEiynu,{sotaEiynu,Ewn,2MP,believers,voc
2,155,11,2,ba$~iri,bu$~ira,b$r,2MS,prophet:Muhammad,2MS-default
2,167,11,1,tabar~a'u,tabar~a>a,brA,2MP,believers-or-group,2MP-default
2,168,3,1,kulu,>akala,Akl,2MP,humanity,voc
2,170,4,1,{t~abiEu,{t~abaEa,tbE,2MP,believers-or-group,2MP-default
2,172,4,1,kulu,>akala,Akl,2MP,believers,voc
2,172,9,2,{$okuru,$akara,$kr,2MP,believers,voc
2,186,11,1,daEa,daEaA,dEw,2MD,dual-addressee,2MD
2,187,25,1,ba`$iru,ba`$iru,b$r,2MP,believers-or-group,2MP-default
2,187,26,2,{botagu,{botagaY`,bgy,2MP,believers-or-group,2MP-default
2,187,31,2,kulu,>akala,Akl,2MP,believers-or-group,2MP-default
2,187,32,2,{$orabu,$ariba,$rb,2MP,believers-or-group,2MP-default
2,187,44,1,>atim~u,>atam~a,tmm,2MP,believers-or-group,2MP-default
2,189,4,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
2,189,20,2,>otu,>ataY,Aty,2MP,believers-or-group,2MP-default
