rank_by_Q,sid,name_ar,N,Q_LB,z_Q,p_LB_perm,p_LB_chi2,acf_1,acf_2,acf_3,acf_4,acf_5,acf_6,acf_7,acf_8,acf_9,acf_10,pacf_1,pacf_2,pacf_3,pacf_4,pacf_5,max_abs_acf,max_abs_acf_lag,is_muq,period,muq_or_meccan
17,70,المعارج,44,19.2097,1.8026,0.051474,0.037678,0.3274,0.3126,0.2224,0.1800,0.0262,0.1299,0.2000,0.0148,0.0511,0.1873,0.3274,0.2301,0.0807,0.0429,-0.1145,0.3274,1,0,Meccan,1
18,77,المرسلات,50,17.6888,1.8721,0.054473,0.060445,0.0623,0.3692,0.2141,0.1563,0.1671,0.0043,0.1797,0.0399,0.1891,0.0621,0.0623,0.3668,0.2050,0.0227,0.0254,0.3692,2,0,Meccan,1
19,23,المؤمنون,118,17.6050,1.6208,0.061469,0.062003,0.0431,-0.1331,0.1490,0.0558,0.0817,0.2174,-0.0603,0.0285,0.1760,0.0730,0.0431,-0.1352,0.1646,0.0200,0.1256,0.2174,6,0,Meccan,1
20,55,الرحمن,78,17.5541,2.6888,0.019990,0.062967,-0.0238,0.3142,-0.0377,0.2410,-0.0509,0.1120,-0.1662,0.0768,-0.0011,-0.0371,-0.0238,0.3138,-0.0278,0.1572,-0.0320,0.3142,2,0,Medinan,0
21,36,يس,83,17.1709,1.5038,0.082459,0.070667,0.2041,0.1627,0.0898,-0.0091,0.0666,-0.0582,-0.0380,-0.1924,-0.1606,-0.1977,0.2041,0.1263,0.0371,-0.0550,0.0644,0.2041,1,1,Meccan,1
22,6,الأنعام,165,16.6120,1.4505,0.082459,0.083402,0.1050,0.1326,0.0545,-0.1362,0.0382,0.1676,0.0750,0.0999,-0.0204,-0.0319,0.1050,0.1229,0.0302,-0.1645,0.0577,0.1676,6,0,Meccan,1
23,42,الشورى,53,16.1732,1.1906,0.118941,0.094779,0.3300,0.2762,0.1582,0.0499,-0.0117,0.0122,0.1679,0.1656,0.0802,-0.0373,0.3300,0.1878,0.0258,-0.0585,-0.0552,0.3300,1,1,Meccan,1
24,25,الفرقان,77,16.1010,1.1687,0.103948,0.096778,0.1988,0.0906,0.0186,-0.1117,0.1044,-0.1731,-0.1881,-0.1083,-0.1830,0.0820,0.1988,0.0532,-0.0095,-0.1235,0.1564,0.1988,1,0,Meccan,1
25,14,إبراهيم,52,15.8278,1.2297,0.107446,0.104670,0.3799,-0.0975,-0.0449,0.0299,0.0197,-0.1791,-0.2245,-0.1041,0.0737,0.1227,0.3799,-0.2826,0.1396,-0.0436,0.0256,0.3799,1,1,Meccan,1
26,13,الرعد,43,14.7419,0.9621,0.144428,0.141758,0.1821,0.0369,-0.0656,-0.2326,0.0380,-0.0704,-0.3212,-0.1790,-0.0989,-0.1870,0.1821,0.0038,-0.0755,-0.2159,0.1293,0.3212,7,1,Medinan,1
27,8,الأنفال,75,13.9200,0.9806,0.151424,0.176672,0.0157,0.0270,-0.1226,-0.1032,0.2112,0.1749,0.1599,-0.1506,-0.1265,-0.0042,0.0157,0.0268,-0.1236,-0.1014,0.2266,0.2112,5,0,Medinan,0
28,21,الأنبياء,112,13.2195,0.6527,0.212894,0.211656,0.1196,-0.0284,0.1401,0.0176,0.0910,0.2078,0.0611,0.0638,-0.1154,-0.0530,0.1196,-0.0433,0.1513,-0.0215,0.1087,0.2078,6,0,Meccan,1
29,72,الجن,28,13.2109,0.5685,0.215392,0.212116,0.1771,-0.3919,-0.2088,0.1237,0.1784,-0.1130,-0.2499,-0.1539,-0.0332,0.0422,0.1771,-0.4369,-0.0404,0.0167,0.0525,0.3919,2,0,Meccan,1
30,4,النساء,176,12.6312,0.6000,0.227386,0.245027,0.2180,0.0368,-0.0889,-0.0909,0.0275,-0.0113,-0.0633,0.0085,0.0111,-0.0051,0.2180,-0.0112,-0.0993,-0.0532,0.0668,0.2180,1,0,Medinan,0
31,76,الإنسان,31,12.2844,0.3908,0.262869,0.266475,-0.1615,0.1990,-0.3272,-0.0923,-0.2569,0.1952,0.1219,0.1184,-0.0369,-0.0767,-0.1615,0.1776,-0.2885,-0.2235,-0.2309,0.3272,3,0,Medinan,0
32,83,المطففين,36,12.2716,0.3223,0.282359,0.267288,0.0902,0.1118,0.1016,-0.0459,0.0046,-0.3172,-0.1889,-0.1108,-0.2705,-0.0822,0.0902,0.1045,0.0847,-0.0737,-0.0061,0.3172,6,0,Meccan,1
33,30,الروم,60,12.2516,0.4893,0.245877,0.268569,0.3153,0.0887,-0.0585,-0.1623,-0.1389,-0.0383,-0.1468,-0.0033,0.0688,0.0566,0.3153,-0.0120,-0.0922,-0.1301,-0.0485,0.3153,1,1,Meccan,1
