surah,name,type,n_verses,n_chars,gzip_ratio,zlib_ratio,lz_complexity,lz_normalized,entropy_bpc,gzip_null_mean,gzip_null_std,gzip_z,gzip_emp_p_twotail
69,Al-Haqqah,meccan,52,1400,0.3866771777690185,0.3819471817106819,410,3.0607118256080392,4.32187495583436,0.3646462258024728,0.007564238353502621,2.912514246241892,0.004
70,Al-Ma'arij,meccan,44,1197,0.40404970087436726,0.3985273815002301,355,3.0325385464619408,4.268778327979274,0.37139630258178513,0.00824255275902796,3.9615637590935995,0.0
71,Nuh,meccan,28,1197,0.3861431870669746,0.38060046189376445,340,2.9044031149212954,4.200162427451453,0.39170552631396033,0.010838762364986071,-0.51318951921619,0.614
72,Al-Jinn,meccan,28,1408,0.37599049128367673,0.3712361331220285,386,2.867429406813918,4.20074989227219,0.3918761072262788,0.011173060072816264,-1.4217784419911357,0.152
73,Al-Muzzammil,meccan,20,1081,0.40841457157516675,0.4022575679835813,325,3.0299713344253107,4.300074332260993,0.40885148914110464,0.01364110719877877,-0.03202947968747025,0.96
74,Al-Muddaththir,meccan,56,1308,0.4005102040816326,0.39540816326530615,383,3.0315406989034903,4.317521610091923,0.36126468712630533,0.007271528468579287,5.397148223363154,0.0
75,Al-Qiyamah,meccan,40,841,0.3952569169960474,0.38735177865612647,243,2.807346924651605,4.29693632357051,0.37538179373843794,0.008900603303794795,2.233008547761664,0.032
76,Al-Insan,medinan,31,1343,0.400902749281904,0.39597866228970047,394,3.048510777538654,4.31049640153438,0.38707477427872383,0.010445081863543737,1.3238742581275194,0.174
77,Al-Mursalat,meccan,50,1023,0.3576407506702413,0.3512064343163539,274,2.6780193330891695,4.191983549119553,0.3658248158411851,0.007644697774027904,-1.0705544434664664,0.32
78,An-Naba,meccan,40,975,0.4064261555806088,0.3996617812852311,289,2.943134030867779,4.182685763299963,0.3755706018284267,0.008603880144571573,3.5862370504602743,0.002
79,An-Nazi'at,meccan,46,965,0.4169046259280411,0.41005139920045686,300,3.0821922690638686,4.3639498680299,0.3694179392882218,0.008115142246443604,5.851614820507917,0.0
80,'Abasa,meccan,42,684,0.4457928802588997,0.436084142394822,232,3.194359332534398,4.426733333451964,0.3733480112254131,0.008618963790635351,8.405287548858151,0.0
81,At-Takwir,meccan,29,538,0.4295991778006166,0.4172661870503597,170,2.866447214934249,4.2685843375221815,0.3902325336504576,0.010817483985967566,3.6391682392343165,0.0
82,Al-Infitar,meccan,19,415,0.45260347129506007,0.43658210947930576,134,2.8081774663021553,4.163139155008553,0.41284415918843576,0.015155573110539722,2.623411982947334,0.016
83,Al-Mutaffifin,meccan,36,924,0.38938580799045913,0.38223017292784733,258,2.7508130440317564,4.19687165364214,0.37994462444861443,0.009257310145208038,1.0198625079804464,0.302
84,Al-Inshiqaq,meccan,25,554,0.438,0.426,182,2.994045260326629,4.242988878611487,0.39787451203535235,0.012054359742102625,3.3287116713880835,0.0
85,Al-Buruj,meccan,22,581,0.4429657794676806,0.43155893536121676,188,2.9712394809639444,4.20087182253116,0.40552124470934725,0.013179327581950428,2.8411566922135716,0.008
86,At-Tariq,meccan,17,314,0.4964788732394366,0.4753521126760563,117,3.0906707885997458,4.177088845128172,0.4195894631116085,0.015972676922332892,4.813808637193548,0.0
87,Al-A'la,meccan,19,369,0.5075075075075075,0.4894894894894895,135,3.1198086607538036,4.350968796908366,0.4125235550110498,0.01450288824821176,6.549312858986514,0.0
88,Al-Ghashiyah,meccan,26,473,0.464327485380117,0.4502923976608187,163,3.0620898707279522,4.3473104437098895,0.3960700802530582,0.011807128687094546,5.781033385505967,0.0
89,Al-Fajr,meccan,30,726,0.43597560975609756,0.4268292682926829,238,3.1155792364228496,4.251564397269869,0.38844321226862677,0.010896538760259252,4.3621555920882065,0.0
90,Al-Balad,meccan,20,423,0.4588235294117647,0.44313725490196076,143,2.94942194088925,4.19682980649941,0.40949909139601914,0.01399849198510117,3.5235536847999316,0.002
91,Ash-Shams,meccan,15,306,0.47227191413237923,0.45080500894454384,106,2.8604023245928794,4.057015051736357,0.42759345934650156,0.01623478653265929,2.7520198492292254,0.006
92,Al-Layl,meccan,21,384,0.47277936962750716,0.45558739255014324,131,2.928724186443936,4.3338188066519665,0.407028875221271,0.013872172777035447,4.7397401591683,0.0
93,Ad-Duhaa,meccan,11,204,0.5474254742547425,0.5149051490514905,79,2.9711843236066082,4.271168479432237,0.4500152812234619,0.022462554863724504,4.336558936516676,0.0
94,Ash-Sharh,meccan,8,128,0.6217391304347826,0.5695652173913044,57,3.1171875,4.144471176831399,0.477685723836485,0.029733585801505688,4.844804375764285,0.0
95,At-Tin,meccan,8,195,0.5686274509803921,0.5350140056022409,78,3.0429321254998443,4.125448871629263,0.47664539192705774,0.030009175146250143,3.0651312008763494,0.008
96,Al-'Alaq,meccan,19,361,0.46615384615384614,0.44769230769230767,125,2.9417780564013745,4.205083612426532,0.41314335784069706,0.014482457088686253,3.660324210769529,0.002
