surah,verse,mushaf_index,n_words,n_segments,n_letters_rasm,n_root_tokens,n_lemma_tokens,n_pos_segments,n_hapax_root_tokens,frac_hapax_root_tokens,n_hapax_lemma_tokens,frac_hapax_lemma_tokens,mean_log10_root_freq,median_log10_root_freq,min_root_freq,mean_root_surprisal_bits,sum_root_surprisal_bits,frac_root_tokens_freq_le5,n_root_types,ttr_root,root_simpson_repeat,rime_pausal,rime_class_size,fasila_readable,share_nominal,share_verbal,share_pronominal,share_particle,segments_per_word,frac_derived_stems
26,74,3006,6,11,29,4,6,6,0,0.0,0,0.0,2.341756635508989,2.050804808616556,107,7.8295696951343565,31.318278780537426,0.0,4,1.0,0.0,Uن,1751,1,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,1.8333333333333333,0.0
26,75,3007,5,10,22,4,5,5,0,0.0,0,0.0,2.8335636212284183,2.829444321982887,275,6.195822252011118,24.783289008044473,0.0,4,1.0,0.0,Uن,1751,1,0.0,0.8,0.2,0.0,2.0,0.0
26,76,3008,3,6,20,2,2,3,0,0.0,1,0.5,1.8747135495608744,1.8747135495608744,48,9.381053243868292,18.762106487736585,0.0,2,1.0,0.0,Uن,1751,1,0.6666666666666666,0.0,0.3333333333333333,0.0,2.0,0.0
26,77,3009,6,10,22,3,5,6,0,0.0,0,0.0,2.6493299372154233,2.931457870689005,106,6.807833302958486,20.42349990887546,0.0,3,1.0,0.0,Iن,1293,1,0.5,0.0,0.16666666666666666,0.3333333333333333,1.6666666666666667,0.0
26,78,3010,4,7,17,2,3,4,0,0.0,0,0.0,2.4581637949783426,2.4581637949783426,261,7.44287348164708,14.88574696329416,0.0,2,1.0,0.0,Iن,1293,1,0.0,0.5,0.5,0.0,1.75,0.0
26,79,3011,4,8,19,2,3,4,0,0.0,0,0.0,1.5395906230238126,1.5395906230238126,25,10.494307508772632,20.988615017545264,0.0,2,1.0,0.0,Iن,1293,1,0.0,0.5,0.5,0.0,2.0,0.5
26,80,3012,4,8,16,2,3,4,0,0.0,1,0.3333333333333333,1.0791812460476247,1.0791812460476247,6,12.023754353299417,24.047508706598833,0.0,2,1.0,0.0,Iن,1293,1,0.0,0.5,0.25,0.25,2.0,0.0
26,81,3013,4,7,18,2,4,4,0,0.0,0,0.0,2.2411508836117213,2.2411508836117213,165,8.163774768869159,16.327549537738317,0.0,2,1.0,0.0,Iن,1293,1,0.0,0.5,0.25,0.25,1.75,1.0
26,82,3014,8,12,30,5,7,8,0,0.0,0,0.0,1.880519236255457,2.0043213737826426,12,9.361767170127445,46.80883585063722,0.0,5,1.0,0.0,Iن,1293,1,0.375,0.25,0.25,0.125,1.5,0.0
26,83,3015,6,12,25,5,5,6,0,0.0,0,0.0,1.94896182691708,2.255272505103306,6,9.134405805321723,45.67202902660862,0.0,5,1.0,0.0,Iن,1293,1,0.5,0.3333333333333333,0.16666666666666666,0.0,2.0,0.2
