surah	verse	A	D	DISPUTE	A_resid	D_resid	DISPUTE_resid	len_char	len_word	n_hapax	rarity	ar-tafsir-al-tabari	ar-tafseer-al-qurtubi	ar-tafsir-ibn-kathir	ar-tafsir-al-baghawi	ar-tafseer-tanwir-al-miqbas	ar-tafseer-al-saddi	ar-tafsir-al-wasit	ar-tafsir-muyassar
2	59	0.714691	0.183732	0.852687	0.290467	-0.031368	1.678100	94	18	0	7.689584	0.928640	0.846456	0.934173	0.766758	0.025176	0.588679	0.879650	0.747996
2	60	0.763580	0.116020	0.763184	-0.348371	-0.364614	0.718317	153	32	0	9.118950	0.902582	0.942832	0.886546	0.913566	0.025176	0.649936	0.934333	0.853672
2	61	0.861339	0.033675	0.816526	-1.221742	-1.020756	-0.124974	326	65	5	9.303261	0.987893	0.987091	0.964801	0.939304	0.025176	0.990619	0.999278	0.996552
2	62	0.829298	0.047867	0.800777	0.363724	-1.199170	1.184652	131	24	0	8.034176	0.972819	0.926315	0.958547	0.948926	0.025176	0.936418	0.878047	0.988133
2	63	0.702644	0.193614	0.739920	0.267045	-0.011352	1.072877	84	15	0	9.037648	0.902742	0.901139	0.760183	0.864897	0.025176	0.474022	0.875962	0.817030
2	64	0.440918	0.231258	0.500367	-0.278639	0.075648	0.264960	68	14	0	7.211493	0.863534	0.459269	0.343970	0.447883	0.025176	0.240619	0.525337	0.621552
2	65	0.742423	0.224543	0.770812	0.664037	0.232863	1.336503	65	12	0	9.264197	0.949407	0.959830	0.963999	0.920863	0.025176	0.470574	0.813101	0.836434
2	66	0.576672	0.478131	0.686383	0.337336	1.515417	1.105937	53	9	0	8.989019	0.905148	0.717126	0.904747	0.804442	0.025176	0.386867	0.244949	0.624920
2	67	0.788376	0.160500	0.630131	0.412490	0.007219	0.529561	106	22	0	7.668860	0.939304	0.935055	0.979554	0.966084	0.025176	0.741421	0.920221	0.800192
2	68	0.611199	0.235067	0.547776	-0.369449	0.339941	0.049573	106	25	0	8.141884	0.941870	0.829298	0.778945	0.665170	0.025176	0.402341	0.607842	0.638951
2	69	0.509722	0.310536	0.506082	-0.845949	0.732488	-0.469812	90	19	1	9.205086	0.889272	0.771408	0.691950	0.527742	0.025176	0.235728	0.480035	0.456462
2	70	0.583457	0.292856	0.450953	0.028091	0.611751	-0.188978	78	17	0	7.497538	0.955661	0.744548	0.674551	0.566629	0.025176	0.209349	0.847017	0.644724
2	71	0.736790	0.184754	0.736278	-0.435309	0.106232	0.407619	124	26	1	9.511894	0.954378	0.924070	0.877726	0.693072	0.025176	0.723942	0.802678	0.893281
2	72	0.573815	0.397591	0.598999	0.297094	1.119777	0.722745	56	11	0	8.213185	0.941068	0.777502	0.615138	0.584910	0.025176	0.384140	0.857441	0.405148
2	73	0.808832	0.126263	0.799826	1.120093	-0.495963	1.686890	69	12	0	7.516666	0.824326	0.973621	0.891838	0.960552	0.025176	0.995911	0.957264	0.841966
2	74	0.845694	0.019544	0.815896	-0.266507	-1.541392	0.773454	185	41	0	9.431007	0.964160	0.930003	0.954859	0.972819	0.025176	0.966645	0.988695	0.963198
2	75	0.703776	0.205861	0.574842	0.111899	0.172908	0.256996	97	20	0	8.242607	0.890394	0.877405	0.875321	0.725946	0.025176	0.519804	0.888871	0.827293
2	76	0.734295	0.104294	0.783962	0.021784	-0.714040	1.157314	125	24	0	7.754996	0.925674	0.819756	0.891196	0.864897	0.025176	0.681847	0.798268	0.867543
2	77	0.318513	0.204759	0.336319	-0.348643	-0.102454	-1.136387	44	9	0	7.526143	0.551956	0.224904	0.561017	0.197162	0.025176	0.356479	0.379650	0.251764
2	78	0.707976	0.288526	0.671733	0.748066	0.597806	1.042020	55	11	0	8.518484	0.962716	0.897290	0.885423	0.876764	0.025176	0.604554	0.826090	0.585792
2	79	0.784237	0.054983	0.661825	0.142565	-1.275889	0.520928	127	25	0	8.121217	0.938823	0.871151	0.894564	0.865539	0.025176	0.942191	0.832906	0.903544
2	80	0.736570	0.120109	0.626145	0.170587	-0.548059	0.560874	117	25	0	6.969692	0.909317	0.788085	0.876123	0.779426	0.025176	0.871873	0.923589	0.718970
2	81	0.656390	0.107260	0.508980	0.242263	-1.091396	0.018956	68	14	0	9.414524	0.910279	0.716244	0.815186	0.690587	0.025176	0.769644	0.623316	0.700690
2	82	0.320237	0.327534	0.336319	-0.684163	0.989464	-1.356995	63	11	0	7.865828	0.523012	0.024455	0.332665	0.156430	0.025176	0.427197	0.387428	0.685536
2	83	0.815056	0.081342	0.736392	-0.064330	-0.550612	0.674607	178	29	0	8.137464	0.963839	0.966084	0.905148	0.824968	0.025176	0.985167	0.947643	0.902421
2	84	0.684062	0.262488	0.593810	0.130891	0.538670	0.299300	85	15	0	9.877569	0.845654	0.811017	0.744387	0.597418	0.025176	0.965603	0.894243	0.588999
2	85	0.809333	0.056968	0.578187	-0.789460	-0.724693	-0.472214	287	53	0	8.465674	0.973300	0.939625	0.915892	0.919660	0.025176	0.829618	0.908194	0.963198
2	86	0.402702	0.354254	0.336319	-0.717163	1.074397	-1.616778	77	14	0	8.876894	0.617463	0.608082	0.256414	0.260183	0.025176	0.829618	0.255452	0.369227
2	87	0.754099	0.153905	0.716531	-0.370274	0.069839	0.545124	169	30	0	8.501314	0.920863	0.838278	0.950369	0.910038	0.025176	0.734124	0.886867	0.767078
2	88	0.649154	0.215322	0.668056	0.581236	-0.082960	1.082373	57	11	0	7.978615	0.936899	0.695237	0.863374	0.795943	0.025176	0.457906	0.644003	0.774695
2	89	0.794931	0.203075	0.415834	0.222881	0.548137	-0.755066	135	27	0	7.280663	0.915731	0.711995	0.864416	0.707425	0.848541	0.457906	0.913326	0.940106
2	90	0.833447	0.082705	0.732097	0.223649	-0.558291	0.774962	137	29	0	8.198808	0.958066	0.838037	0.805725	0.873877	0.897130	0.457906	0.929923	0.906911
2	91	0.851868	0.152822	0.792930	0.445201	0.388919	1.265497	150	31	0	6.509725	0.912364	0.762829	0.775176	0.674070	0.863534	0.966244	0.962556	0.898172
2	92	0.467357	0.382437	0.378138	-0.139832	1.097151	-0.832137	63	12	0	7.779937	0.684814	0.387508	0.618185	0.238935	0.247835	0.253929	0.547947	0.759702
2	93	0.876594	0.133559	0.710105	0.313539	0.387878	0.582526	161	29	0	8.223037	0.886546	0.782072	0.846296	0.779426	0.949727	0.826972	0.992543	0.949166
2	94	0.727359	0.140435	0.615493	0.467174	-0.490734	0.639579	83	17	0	7.641115	0.902261	0.757777	0.394965	0.753608	0.804282	0.547867	0.922947	0.735167
2	95	0.697994	0.179903	0.619055	0.790732	-0.341164	0.836645	54	10	0	8.293563	0.767880	0.604394	0.955019	0.478512	0.693714	0.547867	0.759541	0.777021
2	96	0.824006	0.096055	0.667942	0.133667	-0.438665	0.362049	130	27	0	9.494191	0.927598	0.844131	0.836514	0.741100	0.850064	0.547867	0.942351	0.902421
2	97	0.825840	0.265996	0.591783	0.883090	1.002689	0.571652	89	18	0	7.155247	0.973461	0.512428	0.989657	0.922707	0.933371	0.536562	0.973942	0.764593
2	98	0.809163	0.113153	0.664677	1.298219	-0.676142	1.234271	66	12	0	6.536629	0.943794	0.883659	0.922787	0.824006	0.649134	0.536562	0.868906	0.844452
2	99	0.446851	0.234024	0.336319	-0.055569	0.009399	-1.247082	55	11	0	7.489934	0.777341	0.224182	0.754169	0.276299	0.324727	0.411883	0.328736	0.477470
2	100	0.644464	0.197502	0.525142	0.474495	-0.248767	0.276917	55	11	0	8.962452	0.828656	0.715683	0.706222	0.742543	0.392720	0.473060	0.561658	0.735167
2	101	0.601367	0.164448	0.577935	-0.308625	-0.305914	0.287716	110	22	0	7.671963	0.702453	0.485568	0.683291	0.536321	0.195959	0.637989	0.964962	0.604394
